classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,14.56971495214384,-12333879.996437347,4637645.928035011,1410.8484345048207,0.07837033646143282,1,1,217
Ground,Point Cloud,15.647473813405668,-12333878.62142255,4637645.786347301,1410.8484345048207,0.07177843900205996,1,1,217
Ground,Point Cloud,16.98491738914163,-12333876.91472971,4637645.577035917,1410.829113453808,0.07568474860761425,1,1,217
Ground,Point Cloud,18.440286241835565,-12333875.06312899,4637645.85397098,1410.7679301256007,0.07812619211108568,1,1,217
Ground,Point Cloud,4.069909303252643,-12333893.373044997,4637645.575425829,1409.898482830024,0.07275501640344854,1,1,217
Ground,Point Cloud,4.631872337544337,-12333892.658166109,4637645.6897420455,1409.8598407279983,0.0690928511482414,1,1,217
Ground,Point Cloud,19.61054872070963,-12333873.572187886,4637645.889392909,1410.668104695368,0.07397573815518425,1,1,217
Ground,Point Cloud,20.778801538494008,-12333872.08124678,4637645.692962222,1410.4491327838894,0.07470817120622568,1,1,217
Ground,Point Cloud,4.957257362715609,-12333892.239543337,4637645.330692518,1409.8195885383884,0.07129015030136568,1,1,217
Ground,Point Cloud,4.911750894825673,-12333892.302336754,4637645.765416163,1409.8791617790112,0.06982528419928283,1,1,217
Ground,Point Cloud,5.321032633451978,-12333891.779058289,4637645.610847757,1409.8791617790112,0.06933699549858854,1,1,217
Ground,Point Cloud,5.598357248316461,-12333891.423228933,4637645.391875844,1409.9596661582314,0.07275501640344854,1,1,217
Ground,Point Cloud,6.021961297607049,-12333890.887069765,4637645.723553887,1410.0498310629578,0.06811627374685282,1,1,217
Ground,Point Cloud,6.057583452660765,-12333890.837157052,4637645.314591639,1410.0691521139706,0.07470817120622568,1,1,217
Unclassified,Point Cloud,6.320729250110162,-12333890.50547901,4637645.646269681,1410.17863806971,0.07470817120622568,1,1,217
Ground,Point Cloud,7.232333211810328,-12333889.344605861,4637645.721943798,1410.358967879163,0.07373159380483711,1,1,217
Ground,Point Cloud,7.7612938780439436,-12333888.668369075,4637645.527123202,1410.4088805942793,0.0708018616006714,1,1,217
Ground,Point Cloud,8.375678999116644,-12333887.889086684,4637645.858801245,1410.4587933093958,0.07666132600900283,1,1,217
Ground,Point Cloud,8.41118950820237,-12333887.839173969,4637645.436958295,1410.4088805942793,0.06689555199511711,1,1,217
Ground,Point Cloud,8.674112009975943,-12333887.507495927,4637645.742874937,1410.4491327838894,0.07397573815518425,1,1,217
Ground,Point Cloud,9.181196699464635,-12333886.857020544,4637645.356453917,1410.3090551640462,0.0673838406958114,1,1,217
Ground,Point Cloud,9.44346327020321,-12333886.525342502,4637645.586696443,1410.3686284046692,0.06884870679789426,1,1,217
Ground,Point Cloud,9.976094357240072,-12333885.849105716,4637645.815328879,1410.3798990177602,0.07226672770275426,1,1,217
Ground,Point Cloud,10.865103176431148,-12333884.715604056,4637645.762195987,1410.5795498782259,0.06640726329442283,1,1,217
Ground,Point Cloud,11.123922620165104,-12333884.383926013,4637645.594746879,1410.6294625933422,0.07788204776073854,1,1,217
Ground,Point Cloud,11.496653696420253,-12333883.91217035,4637645.887782818,1410.6697147829523,0.07129015030136568,1,1,217
Ground,Point Cloud,11.532164201780688,-12333883.862257637,4637645.465939873,1410.6697147829523,0.07934691386282139,1,1,217
Ground,Point Cloud,11.832628244213993,-12333883.47905679,4637645.438568384,1410.7099669725624,0.07129015030136568,1,1,217
Ground,Point Cloud,12.257348770021053,-12333882.942897627,4637645.899053434,1410.7792007386915,0.06079194323643854,1,1,217
Ground,Point Cloud,12.292845324984228,-12333882.89298491,4637645.475600399,1410.748609074588,0.06176852063782712,1,1,217
Ground,Point Cloud,12.583550656541775,-12333882.522664767,4637645.488481098,1410.7598796876787,0.06347753109025711,1,1,217
Ground,Point Cloud,12.538267486190307,-12333882.585458182,4637645.9489661455,1410.7792007386915,0.0720225833524071,1,1,217
Ground,Point Cloud,13.454486939990602,-12333881.41331442,4637645.536783724,1410.8194529283016,0.07495231555657282,1,1,217
Ground,Point Cloud,13.419213684421265,-12333881.463227134,4637645.985998159,1410.8194529283016,0.06640726329442283,1,1,217
Ground,Point Cloud,13.887082119414117,-12333880.864274554,4637645.739654761,1410.829113453808,0.07495231555657282,1,1,217
Ground,Point Cloud,14.127137771749403,-12333880.558357913,4637645.739654761,1410.8387739793145,0.07495231555657282,1,1,217
Ground,Point Cloud,14.605239417207486,-12333879.946524631,4637645.507802151,1410.8484345048207,0.07690547035934997,1,1,217
Ground,Point Cloud,14.908383004018106,-12333879.563323786,4637645.789567477,1410.8597051179117,0.07714961470969711,1,1,217
Ground,Point Cloud,15.34948739574611,-12333879.003013305,4637645.953796409,1410.869365643418,0.07666132600900283,1,1,217
Ground,Point Cloud,15.384997902976465,-12333878.953100592,4637645.531953465,1410.8484345048207,0.0754406042572671,1,1,217
Ground,Point Cloud,16.171484040285577,-12333877.956456378,4637646.040741141,1410.8597051179117,0.07348744945448997,1,1,217
Ground,Point Cloud,16.20710619534657,-12333877.906543663,4637645.631778896,1410.8387739793145,0.07837033646143282,1,1,217
Ground,Point Cloud,16.528406055658706,-12333877.499191504,4637645.821769227,1410.8597051179117,0.07617303730830854,1,1,217
Ground,Point Cloud,16.95068428873492,-12333876.963032337,4637646.000488951,1410.8597051179117,0.08715953307392996,1,1,217
Ground,Point Cloud,17.236902340016968,-12333876.59432228,4637645.641439418,1410.8597051179117,0.07324330510414283,1,1,217
Ground,Point Cloud,17.712977758536,-12333875.992149524,4637646.050401668,1410.8387739793145,0.08178835736629282,1,1,217
Ground,Point Cloud,17.748362663805892,-12333875.942236809,4637645.6140679335,1410.8097924027954,0.0720225833524071,1,1,217
Unclassified,Point Cloud,18.03890706878883,-12333875.573526751,4637645.754145552,1410.8484345048207,0.08691538872358281,1,1,217
Ground,Point Cloud,18.746845110232243,-12333874.66865753,4637645.509412239,1410.7292880235752,0.0754406042572671,1,1,217
Ground,Point Cloud,18.7015619398735,-12333874.731450945,4637645.969897289,1410.7598796876787,0.08715953307392996,1,1,217
Ground,Point Cloud,19.289807101449696,-12333873.979540043,4637645.763806076,1410.6890358339651,0.07959105821316853,1,1,217
Ground,Point Cloud,20.070159151029657,-12333872.984505916,4637645.710673187,1410.5795498782259,0.0690928511482414,1,1,217
Ground,Point Cloud,20.301865650159016,-12333872.691469977,4637645.91354422,1410.5698893527194,0.07495231555657282,1,1,217
